order,index,discussion_path,discussion_url,model_id,is_hidden,length,is_non_english
1,17338,stabilityai@stable-diffusion-2-depth\discussion_6.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-depth/discussions/6,stabilityai/stable-diffusion-2-depth,FALSE,291,FALSE
2,4956,Defpoint@Defmix-v2.0\discussion_2.yaml,https://huggingface.co/Defpoint/Defmix-v2.0/discussions/2,Defpoint/Defmix-v2.0,FALSE,92,FALSE
3,11681,migtissera@Synthia-70B-v1.2b\discussion_2.yaml,https://huggingface.co/migtissera/Synthia-70B-v1.2b/discussions/2,migtissera/Synthia-70B-v1.2b,FALSE,226,FALSE
4,16020,Salesforce@codegen-350M-multi\discussion_4.yaml,https://huggingface.co/Salesforce/codegen-350M-multi/discussions/4,Salesforce/codegen-350M-multi,FALSE,870,FALSE
5,15753,runwayml@stable-diffusion-v1-5\discussion_24.yaml,https://huggingface.co/runwayml/stable-diffusion-v1-5/discussions/24,runwayml/stable-diffusion-v1-5,FALSE,348,FALSE
6,4105,ctheodoris@Geneformer\discussion_101.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/101,ctheodoris/Geneformer,FALSE,3792,FALSE
7,3440,CompVis@stable-diffusion\discussion_8.yaml,https://huggingface.co/CompVis/stable-diffusion/discussions/8,CompVis/stable-diffusion,FALSE,381,FALSE
8,12124,Mitsua@mitsua-diffusion-one\discussion_3.yaml,https://huggingface.co/Mitsua/mitsua-diffusion-one/discussions/3,Mitsua/mitsua-diffusion-one,FALSE,981,FALSE
9,21830,Undi95@Toppy-M-7B\discussion_1.yaml,https://huggingface.co/Undi95/Toppy-M-7B/discussions/1,Undi95/Toppy-M-7B,FALSE,924,FALSE
10,17359,stabilityai@stable-diffusion-2-inpainting\discussion_9.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting/discussions/9,stabilityai/stable-diffusion-2-inpainting,FALSE,629,FALSE
11,5005,dennlinger@bert-wiki-paragraphs\discussion_1.yaml,https://huggingface.co/dennlinger/bert-wiki-paragraphs/discussions/1,dennlinger/bert-wiki-paragraphs,FALSE,1804,FALSE
12,1825,bigcode@starcoder\discussion_49.yaml,https://huggingface.co/bigcode/starcoder/discussions/49,bigcode/starcoder,FALSE,4875,FALSE
13,8509,ibombonato@swin-age-classifier\discussion_2.yaml,https://huggingface.co/ibombonato/swin-age-classifier/discussions/2,ibombonato/swin-age-classifier,FALSE,821,FALSE
14,12943,neulab@codebert-python\discussion_2.yaml,https://huggingface.co/neulab/codebert-python/discussions/2,neulab/codebert-python,FALSE,741,FALSE
15,7240,google@flan-t5-large\discussion_16.yaml,https://huggingface.co/google/flan-t5-large/discussions/16,google/flan-t5-large,FALSE,558,FALSE
16,22358,Webaverse@Stable-Dreamfusion\discussion_1.yaml,https://huggingface.co/Webaverse/Stable-Dreamfusion/discussions/1,Webaverse/Stable-Dreamfusion,FALSE,187,FALSE
17,11383,microsoft@git-base\discussion_1.yaml,https://huggingface.co/microsoft/git-base/discussions/1,microsoft/git-base,FALSE,570,FALSE
18,21782,Undi95@Mixtral-4x7B-DPO-RPChat-GGUF\discussion_4.yaml,https://huggingface.co/Undi95/Mixtral-4x7B-DPO-RPChat-GGUF/discussions/4,Undi95/Mixtral-4x7B-DPO-RPChat-GGUF,FALSE,273,FALSE
19,15328,Qwen@Qwen-Audio\discussion_3.yaml,https://huggingface.co/Qwen/Qwen-Audio/discussions/3,Qwen/Qwen-Audio,FALSE,3214,FALSE
20,9173,JCTN@pygmalion-13b-4bit-128g\discussion_1.yaml,https://huggingface.co/JCTN/pygmalion-13b-4bit-128g/discussions/1,JCTN/pygmalion-13b-4bit-128g,FALSE,2304,FALSE
21,4463,darkVOYAGE@dvMJv4\discussion_1.yaml,https://huggingface.co/darkVOYAGE/dvMJv4/discussions/1,darkVOYAGE/dvMJv4,FALSE,2002,FALSE
22,20046,TheBloke@Wizard-Vicuna-30B-Uncensored-GPTQ\discussion_15.yaml,https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ/discussions/15,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,FALSE,2706,FALSE
23,2425,bucketresearch@politicalBiasBERT\discussion_2.yaml,https://huggingface.co/bucketresearch/politicalBiasBERT/discussions/2,bucketresearch/politicalBiasBERT,FALSE,321,FALSE
24,18455,TheBloke@deepseek-coder-6.7B-base-GGUF\discussion_1.yaml,https://huggingface.co/TheBloke/deepseek-coder-6.7B-base-GGUF/discussions/1,TheBloke/deepseek-coder-6.7B-base-GGUF,FALSE,1154,FALSE
25,18600,TheBloke@FashionGPT-70B-V1.1-GPTQ\discussion_1.yaml,https://huggingface.co/TheBloke/FashionGPT-70B-V1.1-GPTQ/discussions/1,TheBloke/FashionGPT-70B-V1.1-GPTQ,FALSE,246,FALSE
26,19768,TheBloke@StableBeluga2-70B-GPTQ\discussion_12.yaml,https://huggingface.co/TheBloke/StableBeluga2-70B-GPTQ/discussions/12,TheBloke/StableBeluga2-70B-GPTQ,FALSE,247,FALSE
27,21875,unum-cloud@uform\discussion_1.yaml,https://huggingface.co/unum-cloud/uform/discussions/1,unum-cloud/uform,FALSE,2977,FALSE
28,3794,CompVis@stable-diffusion-v1-4\discussion_236.yaml,https://huggingface.co/CompVis/stable-diffusion-v1-4/discussions/236,CompVis/stable-diffusion-v1-4,FALSE,77,FALSE
29,17172,stabilityai@sd-x2-latent-upscaler\discussion_2.yaml,https://huggingface.co/stabilityai/sd-x2-latent-upscaler/discussions/2,stabilityai/sd-x2-latent-upscaler,FALSE,1464,FALSE
30,11607,microsoft@swin-large-patch4-window12-384-in22k\discussion_1.yaml,https://huggingface.co/microsoft/swin-large-patch4-window12-384-in22k/discussions/1,microsoft/swin-large-patch4-window12-384-in22k,FALSE,283,FALSE
31,2078,bigscience@bloom\discussion_80.yaml,https://huggingface.co/bigscience/bloom/discussions/80,bigscience/bloom,FALSE,428,FALSE
32,12267,mmnga@rinna-bilingual-gpt-neox-4b-ggml\discussion_1.yaml,https://huggingface.co/mmnga/rinna-bilingual-gpt-neox-4b-ggml/discussions/1,mmnga/rinna-bilingual-gpt-neox-4b-ggml,FALSE,174,FALSE
33,7083,Gazoche@stable-diffusion-gundam\discussion_1.yaml,https://huggingface.co/Gazoche/stable-diffusion-gundam/discussions/1,Gazoche/stable-diffusion-gundam,FALSE,401,FALSE
34,17348,stabilityai@stable-diffusion-2-inpainting\discussion_24.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting/discussions/24,stabilityai/stable-diffusion-2-inpainting,FALSE,5623,FALSE
35,9936,laion@CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k\discussion_2.yaml,https://huggingface.co/laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k/discussions/2,laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k,FALSE,3277,FALSE
36,4053,crishhh@animatediff_controlnet\discussion_2.yaml,https://huggingface.co/crishhh/animatediff_controlnet/discussions/2,crishhh/animatediff_controlnet,FALSE,943,FALSE
37,8947,intfloat@e5-large-v2\discussion_13.yaml,https://huggingface.co/intfloat/e5-large-v2/discussions/13,intfloat/e5-large-v2,FALSE,1514,FALSE
38,8386,HuggingFaceM4@idefics-9b-instruct\discussion_7.yaml,https://huggingface.co/HuggingFaceM4/idefics-9b-instruct/discussions/7,HuggingFaceM4/idefics-9b-instruct,FALSE,2422,FALSE
39,12948,neuralmind@bert-base-portuguese-cased\discussion_2.yaml,https://huggingface.co/neuralmind/bert-base-portuguese-cased/discussions/2,neuralmind/bert-base-portuguese-cased,FALSE,1263,FALSE
40,8908,internlm@internlm-chat-20b-4bit\discussion_1.yaml,https://huggingface.co/internlm/internlm-chat-20b-4bit/discussions/1,internlm/internlm-chat-20b-4bit,FALSE,578,FALSE
41,15471,relaxml@Llama-1-30b-hf\discussion_2.yaml,https://huggingface.co/relaxml/Llama-1-30b-hf/discussions/2,relaxml/Llama-1-30b-hf,FALSE,100,FALSE
42,10140,lgaalves@tinyllama-1.1b-chat-v0.3_platypus\discussion_2.yaml,https://huggingface.co/lgaalves/tinyllama-1.1b-chat-v0.3_platypus/discussions/2,lgaalves/tinyllama-1.1b-chat-v0.3_platypus,FALSE,338,FALSE
43,10674,LoneStriker@lzlv_70b_fp16_hf-4.65bpw-h6-exl2-2\discussion_1.yaml,https://huggingface.co/LoneStriker/lzlv_70b_fp16_hf-4.65bpw-h6-exl2-2/discussions/1,LoneStriker/lzlv_70b_fp16_hf-4.65bpw-h6-exl2-2,FALSE,1121,FALSE
44,13876,openai-community@openai-gpt\discussion_2.yaml,https://huggingface.co/openai-community/openai-gpt/discussions/2,openai-community/openai-gpt,FALSE,511,FALSE
45,20457,thibaud@controlnet-sd21-openposev2-diffusers\discussion_1.yaml,https://huggingface.co/thibaud/controlnet-sd21-openposev2-diffusers/discussions/1,thibaud/controlnet-sd21-openposev2-diffusers,FALSE,223,FALSE
46,9097,jakariamd@opp_115_privacy_contact_information\discussion_3.yaml,https://huggingface.co/jakariamd/opp_115_privacy_contact_information/discussions/3,jakariamd/opp_115_privacy_contact_information,FALSE,228,FALSE
47,18774,TheBloke@koala-7B-GPTQ\discussion_5.yaml,https://huggingface.co/TheBloke/koala-7B-GPTQ/discussions/5,TheBloke/koala-7B-GPTQ,FALSE,2481,FALSE
48,16466,segmind@SSD-1B\discussion_18.yaml,https://huggingface.co/segmind/SSD-1B/discussions/18,segmind/SSD-1B,FALSE,13410,FALSE
49,4159,ctheodoris@Geneformer\discussion_207.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/207,ctheodoris/Geneformer,FALSE,6548,FALSE
50,4383,dalle-mini@vqgan_imagenet_f16_16384\discussion_5.yaml,https://huggingface.co/dalle-mini/vqgan_imagenet_f16_16384/discussions/5,dalle-mini/vqgan_imagenet_f16_16384,FALSE,698,FALSE
51,7137,gfodor@segmind-vega-fp16-onnx\discussion_1.yaml,https://huggingface.co/gfodor/segmind-vega-fp16-onnx/discussions/1,gfodor/segmind-vega-fp16-onnx,FALSE,83,FALSE
52,6527,facebook@tts_transformer-es-css10\discussion_2.yaml,https://huggingface.co/facebook/tts_transformer-es-css10/discussions/2,facebook/tts_transformer-es-css10,FALSE,314,FALSE
53,565,Aladlyco@Bestfamilyandcriminallawyerinegypt\discussion_1.yaml,https://huggingface.co/Aladlyco/Bestfamilyandcriminallawyerinegypt/discussions/1,Aladlyco/Bestfamilyandcriminallawyerinegypt,FALSE,860,FALSE
54,22940,Yntec@Dreamsphere\discussion_2.yaml,https://huggingface.co/Yntec/Dreamsphere/discussions/2,Yntec/Dreamsphere,FALSE,153,FALSE
55,2982,CLARA-MeD@flan-t5-large\discussion_1.yaml,https://huggingface.co/CLARA-MeD/flan-t5-large/discussions/1,CLARA-MeD/flan-t5-large,FALSE,138,TRUE
56,9578,justinpinkney@miniSD\discussion_3.yaml,https://huggingface.co/justinpinkney/miniSD/discussions/3,justinpinkney/miniSD,FALSE,380,FALSE
57,17451,stabilityai@stable-diffusion-xl-base-1.0\discussion_119.yaml,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/discussions/119,stabilityai/stable-diffusion-xl-base-1.0,FALSE,584,FALSE
58,9853,Kooten@Noromaid-7B-0.4-DPO-4bpw-exl2\discussion_1.yaml,https://huggingface.co/Kooten/Noromaid-7B-0.4-DPO-4bpw-exl2/discussions/1,Kooten/Noromaid-7B-0.4-DPO-4bpw-exl2,FALSE,751,FALSE
59,32,01-ai@Yi-34B\discussion_6.yaml,https://huggingface.co/01-ai/Yi-34B/discussions/6,01-ai/Yi-34B,FALSE,643,FALSE
60,2164,bigscience@bloomz\discussion_38.yaml,https://huggingface.co/bigscience/bloomz/discussions/38,bigscience/bloomz,FALSE,610,FALSE
61,7929,hearmeneigh@e621-rising-v3\discussion_1.yaml,https://huggingface.co/hearmeneigh/e621-rising-v3/discussions/1,hearmeneigh/e621-rising-v3,FALSE,208,FALSE
62,16674,SG161222@Realistic_Vision_V5.1_noVAE\discussion_1.yaml,https://huggingface.co/SG161222/Realistic_Vision_V5.1_noVAE/discussions/1,SG161222/Realistic_Vision_V5.1_noVAE,FALSE,5127,FALSE
63,22793,Yanni8@bert-emotions\discussion_1.yaml,https://huggingface.co/Yanni8/bert-emotions/discussions/1,Yanni8/bert-emotions,FALSE,92,FALSE
64,11572,microsoft@phi-2\discussion_93.yaml,https://huggingface.co/microsoft/phi-2/discussions/93,microsoft/phi-2,FALSE,305,FALSE
65,12984,NeverSleep@Noromaid-7b-v0.2\discussion_1.yaml,https://huggingface.co/NeverSleep/Noromaid-7b-v0.2/discussions/1,NeverSleep/Noromaid-7b-v0.2,FALSE,151,FALSE
66,5299,digiplay@polla_mix_2.4D\discussion_2.yaml,https://huggingface.co/digiplay/polla_mix_2.4D/discussions/2,digiplay/polla_mix_2.4D,FALSE,130,FALSE
67,22369,webui@ControlNet-modules-safetensors\discussion_16.yaml,https://huggingface.co/webui/ControlNet-modules-safetensors/discussions/16,webui/ControlNet-modules-safetensors,FALSE,109,FALSE
68,3799,CompVis@stable-diffusion-v1-4\discussion_26.yaml,https://huggingface.co/CompVis/stable-diffusion-v1-4/discussions/26,CompVis/stable-diffusion-v1-4,FALSE,1402,FALSE
69,6827,flashvenom@Airoboros-13B-SuperHOT-8K-4bit-GPTQ\discussion_2.yaml,https://huggingface.co/flashvenom/Airoboros-13B-SuperHOT-8K-4bit-GPTQ/discussions/2,flashvenom/Airoboros-13B-SuperHOT-8K-4bit-GPTQ,FALSE,206,FALSE
70,2168,bigscience@bloomz\discussion_42.yaml,https://huggingface.co/bigscience/bloomz/discussions/42,bigscience/bloomz,FALSE,283,FALSE
71,20957,tiiuae@falcon-40b-instruct\discussion_87.yaml,https://huggingface.co/tiiuae/falcon-40b-instruct/discussions/87,tiiuae/falcon-40b-instruct,FALSE,1036,FALSE
72,7359,google@mobilenet_v1_0.75_192\discussion_3.yaml,https://huggingface.co/google/mobilenet_v1_0.75_192/discussions/3,google/mobilenet_v1_0.75_192,FALSE,34,TRUE
73,14631,Pclanglais@Brahe\discussion_2.yaml,https://huggingface.co/Pclanglais/Brahe/discussions/2,Pclanglais/Brahe,FALSE,887,FALSE
74,19685,TheBloke@SOLAR-10.7B-Instruct-v1.0-GGUF\discussion_3.yaml,https://huggingface.co/TheBloke/SOLAR-10.7B-Instruct-v1.0-GGUF/discussions/3,TheBloke/SOLAR-10.7B-Instruct-v1.0-GGUF,FALSE,2052,FALSE
75,22181,vllab@controlnet-hands\discussion_3.yaml,https://huggingface.co/vllab/controlnet-hands/discussions/3,vllab/controlnet-hands,FALSE,95,FALSE
76,12530,mosaicml@mpt-7b\discussion_67.yaml,https://huggingface.co/mosaicml/mpt-7b/discussions/67,mosaicml/mpt-7b,FALSE,3495,FALSE
77,3117,codellama@CodeLlama-34b-Instruct-hf\discussion_16.yaml,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf/discussions/16,codellama/CodeLlama-34b-Instruct-hf,FALSE,1383,FALSE
78,14894,PrimeQA@open-nq-colbert-xlmr-large\discussion_1.yaml,https://huggingface.co/PrimeQA/open-nq-colbert-xlmr-large/discussions/1,PrimeQA/open-nq-colbert-xlmr-large,FALSE,35,FALSE
79,2879,Chinese-Vicuna@llama7b_4bit_128g\discussion_3.yaml,https://huggingface.co/Chinese-Vicuna/llama7b_4bit_128g/discussions/3,Chinese-Vicuna/llama7b_4bit_128g,FALSE,104,FALSE
80,11525,microsoft@phi-2\discussion_43.yaml,https://huggingface.co/microsoft/phi-2/discussions/43,microsoft/phi-2,FALSE,713,FALSE
81,1576,BelleGroup@BELLE-7B-2M\discussion_4.yaml,https://huggingface.co/BelleGroup/BELLE-7B-2M/discussions/4,BelleGroup/BELLE-7B-2M,FALSE,129,TRUE
82,14658,PeepDaSlan9@BMO_3.5\discussion_1.yaml,https://huggingface.co/PeepDaSlan9/BMO_3.5/discussions/1,PeepDaSlan9/BMO_3.5,FALSE,71,FALSE
83,6564,facebook@xm_transformer_s2ut_hk-en\discussion_1.yaml,https://huggingface.co/facebook/xm_transformer_s2ut_hk-en/discussions/1,facebook/xm_transformer_s2ut_hk-en,FALSE,7577,FALSE
84,5853,EleutherAI@gpt-neox-20b\discussion_11.yaml,https://huggingface.co/EleutherAI/gpt-neox-20b/discussions/11,EleutherAI/gpt-neox-20b,FALSE,837,FALSE
85,4175,ctheodoris@Geneformer\discussion_223.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/223,ctheodoris/Geneformer,FALSE,2020,FALSE
86,17726,stanlochten@t5-KGQgen\discussion_1.yaml,https://huggingface.co/stanlochten/t5-KGQgen/discussions/1,stanlochten/t5-KGQgen,FALSE,41,FALSE
87,22634,Xenova@multilingual-e5-small\discussion_1.yaml,https://huggingface.co/Xenova/multilingual-e5-small/discussions/1,Xenova/multilingual-e5-small,FALSE,1430,FALSE
88,22594,Wolwollu@ChilloutMix\discussion_1.yaml,https://huggingface.co/Wolwollu/ChilloutMix/discussions/1,Wolwollu/ChilloutMix,FALSE,146,FALSE
89,17382,stabilityai@stable-diffusion-xl-1.0-tensorrt\discussion_7.yaml,https://huggingface.co/stabilityai/stable-diffusion-xl-1.0-tensorrt/discussions/7,stabilityai/stable-diffusion-xl-1.0-tensorrt,FALSE,6837,FALSE
90,9649,kandinsky-community@kandinsky-2-2-prior\discussion_4.yaml,https://huggingface.co/kandinsky-community/kandinsky-2-2-prior/discussions/4,kandinsky-community/kandinsky-2-2-prior,FALSE,128,FALSE
91,18959,TheBloke@Llama-2-70B-GGML\discussion_1.yaml,https://huggingface.co/TheBloke/Llama-2-70B-GGML/discussions/1,TheBloke/Llama-2-70B-GGML,FALSE,9772,FALSE
92,20086,TheBloke@WizardCoder-15B-1.0-GGML\discussion_8.yaml,https://huggingface.co/TheBloke/WizardCoder-15B-1.0-GGML/discussions/8,TheBloke/WizardCoder-15B-1.0-GGML,FALSE,125,FALSE
93,10023,latent-consistency@lcm-lora-sdxl\discussion_11.yaml,https://huggingface.co/latent-consistency/lcm-lora-sdxl/discussions/11,latent-consistency/lcm-lora-sdxl,FALSE,183,FALSE
94,20801,tiiuae@falcon-180B-chat\discussion_10.yaml,https://huggingface.co/tiiuae/falcon-180B-chat/discussions/10,tiiuae/falcon-180B-chat,FALSE,77,FALSE
95,15540,ridger@SpikeGPT-BookCorpus\discussion_3.yaml,https://huggingface.co/ridger/SpikeGPT-BookCorpus/discussions/3,ridger/SpikeGPT-BookCorpus,FALSE,113,FALSE
96,12957,nev@dalle-mini-pytorch\discussion_1.yaml,https://huggingface.co/nev/dalle-mini-pytorch/discussions/1,nev/dalle-mini-pytorch,FALSE,1518,FALSE
97,20783,tiiuae@falcon-180B\discussion_12.yaml,https://huggingface.co/tiiuae/falcon-180B/discussions/12,tiiuae/falcon-180B,FALSE,608,FALSE
98,20137,TheBloke@WizardLM-1.0-Uncensored-Llama2-13B-GGML\discussion_1.yaml,https://huggingface.co/TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGML/discussions/1,TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGML,FALSE,353,FALSE
99,11100,MBZUAI@LaMini-GPT-1.5B\discussion_10.yaml,https://huggingface.co/MBZUAI/LaMini-GPT-1.5B/discussions/10,MBZUAI/LaMini-GPT-1.5B,FALSE,106,FALSE
100,608,ali-issa@my_awesome_model\discussion_1.yaml,https://huggingface.co/ali-issa/my_awesome_model/discussions/1,ali-issa/my_awesome_model,FALSE,71,FALSE
101,20448,thibaud@controlnet-sd21\discussion_36.yaml,https://huggingface.co/thibaud/controlnet-sd21/discussions/36,thibaud/controlnet-sd21,FALSE,516,FALSE
102,503,aipicasso@cool-japan-diffusion-for-learning-2-0\discussion_3.yaml,https://huggingface.co/aipicasso/cool-japan-diffusion-for-learning-2-0/discussions/3,aipicasso/cool-japan-diffusion-for-learning-2-0,FALSE,65,TRUE
103,10527,LLukas22@gpt4all-lora-quantized-ggjt\discussion_2.yaml,https://huggingface.co/LLukas22/gpt4all-lora-quantized-ggjt/discussions/2,LLukas22/gpt4all-lora-quantized-ggjt,FALSE,1656,FALSE
104,3692,CompVis@stable-diffusion-v-1-4-original\discussion_95.yaml,https://huggingface.co/CompVis/stable-diffusion-v-1-4-original/discussions/95,CompVis/stable-diffusion-v-1-4-original,FALSE,159,FALSE
105,4685,Davlan@bert-base-multilingual-cased-ner-hrl\discussion_4.yaml,https://huggingface.co/Davlan/bert-base-multilingual-cased-ner-hrl/discussions/4,Davlan/bert-base-multilingual-cased-ner-hrl,FALSE,279,FALSE
106,20743,THUDM@cogvlm-grounding-generalist-hf\discussion_3.yaml,https://huggingface.co/THUDM/cogvlm-grounding-generalist-hf/discussions/3,THUDM/cogvlm-grounding-generalist-hf,FALSE,313,FALSE
107,5248,digiplay@m3u\discussion_6.yaml,https://huggingface.co/digiplay/m3u/discussions/6,digiplay/m3u,FALSE,238,FALSE
108,1740,bhenrym14@airoboros-33b-gpt4-1.4.1-PI-8192-GPTQ\discussion_2.yaml,https://huggingface.co/bhenrym14/airoboros-33b-gpt4-1.4.1-PI-8192-GPTQ/discussions/2,bhenrym14/airoboros-33b-gpt4-1.4.1-PI-8192-GPTQ,FALSE,7411,FALSE
109,4860,deepseek-ai@deepseek-coder-33b-instruct\discussion_4.yaml,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct/discussions/4,deepseek-ai/deepseek-coder-33b-instruct,FALSE,314,FALSE
110,9447,jondurbin@airoboros-l2-7b-gpt4-1.4.1\discussion_1.yaml,https://huggingface.co/jondurbin/airoboros-l2-7b-gpt4-1.4.1/discussions/1,jondurbin/airoboros-l2-7b-gpt4-1.4.1,FALSE,478,FALSE
111,14003,openai@whisper-large-v2\discussion_76.yaml,https://huggingface.co/openai/whisper-large-v2/discussions/76,openai/whisper-large-v2,FALSE,97,FALSE
112,19127,TheBloke@Llamix2-MLewd-4x13B-GPTQ\discussion_2.yaml,https://huggingface.co/TheBloke/Llamix2-MLewd-4x13B-GPTQ/discussions/2,TheBloke/Llamix2-MLewd-4x13B-GPTQ,FALSE,93,FALSE
113,8040,HeshamHaroon@llama-2-7b-chat-ar\discussion_1.yaml,https://huggingface.co/HeshamHaroon/llama-2-7b-chat-ar/discussions/1,HeshamHaroon/llama-2-7b-chat-ar,FALSE,505,TRUE
114,9945,laion@CLIP-ViT-H-14-frozen-xlm-roberta-large-laion5B-s13B-b90k\discussion_1.yaml,https://huggingface.co/laion/CLIP-ViT-H-14-frozen-xlm-roberta-large-laion5B-s13B-b90k/discussions/1,laion/CLIP-ViT-H-14-frozen-xlm-roberta-large-laion5B-s13B-b90k,FALSE,596,FALSE
115,17883,syaimu@7th_Layer\discussion_5.yaml,https://huggingface.co/syaimu/7th_Layer/discussions/5,syaimu/7th_Layer,FALSE,72,FALSE
116,16963,solowan311@chatgpt4\discussion_5.yaml,https://huggingface.co/solowan311/chatgpt4/discussions/5,solowan311/chatgpt4,FALSE,6,TRUE
117,270,acrastt@Marx-3B-V2\discussion_2.yaml,https://huggingface.co/acrastt/Marx-3B-V2/discussions/2,acrastt/Marx-3B-V2,FALSE,1599,FALSE
118,2563,cardiffnlp@twitter-roberta-base-sentiment-latest\discussion_5.yaml,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest/discussions/5,cardiffnlp/twitter-roberta-base-sentiment-latest,TRUE,9,FALSE
119,3925,coqui@XTTS-v2\discussion_27.yaml,https://huggingface.co/coqui/XTTS-v2/discussions/27,coqui/XTTS-v2,FALSE,467,FALSE
120,6957,FredZhang7@google-safesearch-mini-v2\discussion_1.yaml,https://huggingface.co/FredZhang7/google-safesearch-mini-v2/discussions/1,FredZhang7/google-safesearch-mini-v2,FALSE,1000,FALSE
121,19805,TheBloke@Starcoderplus-Guanaco-GPT4-15B-V1.0-GGML\discussion_2.yaml,https://huggingface.co/TheBloke/Starcoderplus-Guanaco-GPT4-15B-V1.0-GGML/discussions/2,TheBloke/Starcoderplus-Guanaco-GPT4-15B-V1.0-GGML,FALSE,1537,FALSE
122,6665,fblgit@una-cybertron-7b-v2-bf16\discussion_6.yaml,https://huggingface.co/fblgit/una-cybertron-7b-v2-bf16/discussions/6,fblgit/una-cybertron-7b-v2-bf16,FALSE,16,TRUE
123,6450,facebook@rag-token-nq\discussion_2.yaml,https://huggingface.co/facebook/rag-token-nq/discussions/2,facebook/rag-token-nq,FALSE,107,FALSE
124,6237,facebook@galactica-30b\discussion_9.yaml,https://huggingface.co/facebook/galactica-30b/discussions/9,facebook/galactica-30b,FALSE,51,FALSE
125,20165,TheBloke@WizardLM-13B-V1.1-GGML\discussion_1.yaml,https://huggingface.co/TheBloke/WizardLM-13B-V1.1-GGML/discussions/1,TheBloke/WizardLM-13B-V1.1-GGML,FALSE,791,FALSE
126,22301,WarriorMama777@OrangeMixs\discussion_7.yaml,https://huggingface.co/WarriorMama777/OrangeMixs/discussions/7,WarriorMama777/OrangeMixs,FALSE,1023,FALSE
